,Count,Mean,Median,Standard_Deviation,Variance,Minimum,Q1,Q3,Maximum,IQR,Skewness,Outlier_Count,Outlier_Percentage
Production_Construction_Rate,31810.0,17.589175407104687,17.865850000000002,5.290857194914713,27.993169856980785,2.8378,14.2857,21.080849999999998,49.9584,6.795149999999998,-0.029248889549210705,206,0.6475950958817982
Consumer_Services_Rate,31810.0,25.227551389500157,24.5487,6.597144319562701,43.522313173138414,5.6742,20.577375,29.262,62.7119,8.684625,0.553979242435872,441,1.3863564916692863
Business_Knowledge_Services_Rate,31810.0,21.31552049041182,19.26365,8.350562815555362,69.7318993365359,3.6716,15.338225000000001,25.3061,66.7384,9.967875,1.328987094483462,1154,3.6277900031436654
Public_Services_Rate,31810.0,30.37775005029865,29.9861,5.627305137956813,31.666563115675146,9.5745,26.7166,33.633525,86.4486,6.916924999999999,0.739462163818316,686,2.156554542596668
Other_Services_Rate,31810.0,4.530955275070732,4.3787,1.558040174000922,2.4274891838008235,0.0,3.51065,5.3509,20.1183,1.8402500000000002,0.9680109370038875,880,2.7664256523105943
Population_per_km2,31810.0,4433.998082364036,3608.45,4315.2386044169725,18621284.21305054,2.3,1332.25,5908.825,55769.2,4576.575,2.127540415789284,1682,5.2876453945300215
IMD_Score,31810.0,21.655183810122605,17.64,15.343119795484146,235.41132505857743,0.541,9.87225,29.59675,92.735,19.7245,1.153887920164129,959,3.01477522791575
IMD_Rank,31810.0,16439.544451430367,16432.5,9498.666083721495,90224657.37004106,1.0,8206.25,24674.75,32844.0,16468.5,-0.0006536504658736835,0,0.0
IMD_Decile,31810.0,5.505218484753223,6.0,2.877264630996336,8.27865175678248,1.0,3.0,8.0,10.0,5.0,-0.001284442745750262,0,0.0
Income_Deprivation_Score,31810.0,0.1282154353976737,0.099,0.09351031473904856,0.008744178962595921,0.003,0.056,0.178,0.609,0.122,1.1893103122602207,818,2.571518390443257
Employment_Deprivation_Score,31810.0,0.10021754165356808,0.08,0.06744980088435841,0.004549475639339596,0.002,0.05,0.133,0.534,0.083,1.335984833404351,1084,3.4077334171644136
Education_Deprivation_Score,31810.0,21.743557434768938,16.2195,18.665685063088123,348.4077988743911,0.013,7.33325,31.0885,99.446,23.75525,1.2140594089286942,997,3.134234517447344
Health_Deprivation_Score,31810.0,0.0031604841244891498,-0.024,0.8573153513944313,0.7349896117365571,-3.215,-0.588,0.578,3.547,1.166,0.10682001177951149,181,0.5690034580320653
Crime_Deprivation_Score,31810.0,-0.0037870166614272145,0.013,0.8141707284731973,0.6628739751025767,-3.459,-0.566,0.559,3.35,1.125,-0.018926369003115114,139,0.43696950644451427
Housing_Services_Deprivation_Score,31810.0,21.526606538824268,19.993,10.6807653421254,114.07874829354708,0.483,13.518,28.045749999999998,70.456,14.527749999999997,0.638749831180744,326,1.0248349575605156
Living_Environment_Deprivation_Score,31810.0,21.593801854762653,18.4125,15.131442917369492,228.96056476161138,0.126,9.427,30.87825,91.602,21.45125,0.8833588501011813,412,1.2951901917635964
